chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,telemetry,comment
0,1742634498,2025-03-22T09:08:18Z,HG8PCS-11,HG7PDK-2?,5(2/2),0,),T2CSNGRAD,/I,46.712167,20.124667,,,,,,,"DIXPRS - Bela, HA5DI",,, T2CSNGRAD http://hg8lxl.ham.hu:14501
0,1742634499,2025-03-22T09:08:19Z,HG8PCS-11,HG7PDK-2?,5(2/2),0,>,HG8PCS-11,/O,,,,,,,,,"DIXPRS - Bela, HA5DI",,,CPU load: 0.00/0.00/0.00 @ 2025-03-22 10:00 CET
0,1742634500,2025-03-22T09:08:20Z,HG5PBP-1,HG5PBP-1,10(4/3),0,T,HG5PBP-1,/a,,,,,,,,,SQ3PLX http://microsat.com.pl/,,"Seq=81, A1=185, A2=25, A3=1, A4=96, A5=0, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1742634501,2025-03-22T09:08:21Z,HG5PBP-1,HG7PDK-2,8(3/2),0,T,HG5PBP-1,/a,,,,,,,,,SQ3PLX http://microsat.com.pl/,,"Seq=81, A1=185, A2=25, A3=1, A4=96, A5=0, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1742634505,2025-03-22T09:08:25Z,HG8PKA-2,HG7PDK-2?,5(2/2),0,:,HG8PKA-2,/U,,,,,,,,,Beacons or Rabbit TCPIP micros?,,,
0,1742634509,2025-03-22T09:08:29Z,HG2PTH-2,HG7PDK-2?,7(3/2),0,T,HG2PTH-2,/U,,,,,,,,,SQ3PLX http://microsat.com.pl/,,"Seq=60, A1=163, A2=17, A3=3, A4=47, A5=0, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1742634513,2025-03-22T09:08:33Z,OM0ODX,HG7PDK-2?,5(2/2),0,},OM0ODX,/ ,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742634516,2025-03-22T09:08:36Z,OM0ODX,HG7PDK-2?,5(2/2),0,},OM0ODX,/ ,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742634519,2025-03-22T09:08:39Z,HG8PKA-2,HG7PDK-2?,5(2/2),0,:,HG8PKA-2,/U,,,,,,,,,Beacons or Rabbit TCPIP micros?,,,
0,1742634534,2025-03-22T09:08:54Z,HG8PKA-2,HG7PDK-2?,5(2/2),0,:,HG8PKA-2,/U,,,,,,,,,Beacons or Rabbit TCPIP micros?,,,
0,1742634553,2025-03-22T09:09:13Z,HG8PKA-2,HG7PDK-2?,6(3/2),0,:,HG8PKA-2,/U,,,,,,,,,Beacons or Rabbit TCPIP micros?,,,
0,1742634565,2025-03-22T09:09:25Z,HG8PXL-10,HG7PDK-2?,5(2/2),0,),HG0PLA,NA,47.316667,21.118833,,,,144.950,,,"DIXPRS - Bela, HA5DI",,, Linu(X)net 1.38 (TNC2) 144.950/1k2
0,1742634569,2025-03-22T09:09:29Z,HG8PKA-2,HG7PDK-2?,5(2/2),0,!,HG8PKA-2,S#,46.539167,18.995000,,,50.3,,,,Beacons or Rabbit TCPIP micros?,,, BCDIGI v4.1 APRS DIGI Kalocsa Temp:13.5C T15avg:13.5C T15max:13.5C T15min:13.5C Tout:11.0C Fan:0rpm Runtime:270:41h:mm
0,1742634576,2025-03-22T09:09:36Z,HG7PDK-2,HG7PDK-2,7(3/2),0,@,HG7PDK-2,/#,47.718667,18.891833,,,,,,,SQ3PLX http://microsat.com.pl/,,,-PLXDigi U=13.6V.
0,1742634576,2025-03-22T09:09:36Z,OM0ODX,HG7PDK-2?,5(2/2),0,},OM0ODX,/ ,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742634578,2025-03-22T09:09:38Z,HG7PDK-2,HG5PBP-1,8(3/2),0,@,HG7PDK-2,/#,47.718667,18.891833,,,,,,,SQ3PLX http://microsat.com.pl/,,,-PLXDigi U=13.6V.
0,1742634581,2025-03-22T09:09:41Z,HG8PXL-10,HG7PDK-2?,5(3/2),0,),HG7RVC,/m,47.180333,19.800167,,,,145.787,,,"DIXPRS - Bela, HA5DI",,, Repeater 145.7875 & 434.725 MHz Cegled
0,1742634583,2025-03-22T09:09:43Z,HG8PKA-2,HG7PDK-2?,6(3/2),0,T,HG8PKA-2,/U,,,,,,,,,Beacons or Rabbit TCPIP micros?,,"Test: Seq=812, Upwr_V=13.8 Volt, Ubat_V=12.8 Volt, Tout_C=11.0 Cels, Uproc_V=4.9 Volt, Tint_C=13.5 Cels, Nc= Nc1, Nc= Nc1, Nc= Nc1, Nc= Nc1, Nc= Nc1, Nc= Nc1, Nc= Nc1, Nc= Nc1",
0,1742634592,2025-03-22T09:09:52Z,HG4HNA-1,HG7PDK-2?,5(2/2),0,@,HG4HNA-1,/#,47.258500,18.596833,,,,,,,SQ3PLX http://microsat.com.pl/,,," Meleg-hegy (ASL: 352m) - APRS IGate & Digi - HAMNET: 2392MHz,5MHz BW,Ver."
0,1742634636,2025-03-22T09:10:36Z,OM0ODX,HG7PDK-2?,5(2/2),0,},OM0ODX,/ ,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742634638,2025-03-22T09:10:38Z,HG4HNA-1,HG7PDK-2,8(3/2),0,T,HG4HNA-1,/a,,,,,,,,,SQ3PLX http://microsat.com.pl/,,"Seq=174, A1=188, A2=34, A3=5, A4=93, A5=0, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1742634645,2025-03-22T09:10:45Z,OM0ODX,HG7PDK-2?,5(2/2),0,},OM0ODX,/ ,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742634645,2025-03-22T09:10:45Z,HG8PXL-10,HG7PDK-2,5(2/2),0,),HG8RUF,/r,46.271000,20.145167,,,,438.750,,,"DIXPRS - Bela, HA5DI",,,Hytera RD625 Repeater RX:438.750MHz TX:431.150MHz CC8 Szeged
0,1742634656,2025-03-22T09:10:56Z,HG8PXL-10,HG7PDK-2?,5(2/2),0,),HG8RUH,/r,46.706167,20.140667,,,,438.250,,,"DIXPRS - Bela, HA5DI",,,MMDVM Repeater TX:438.250MHz RX:430.650MHz CC9 Csongrad
0,1742634674,2025-03-22T09:11:14Z,OM0ODX,HG7PDK-2,5(2/2),0,@,OM0ODX,I#,48.041833,18.416833,,,,438.100,,,SQ3PLX http://microsat.com.pl/,,,DMR HotSpot 438.100MHz - APRS Digipeater/iGate
0,1742634682,2025-03-22T09:11:22Z,HG8PXL-10,HG7PDK-2,5(2/2),0,),BORDANY,/;,46.322167,19.923000,,,,,,,"DIXPRS - Bela, HA5DI",,, Bordanyi Radios Talalkozo 2025 - Augusztus 1.-Pentek 2.-szombat Szervezo: HA8DU Peter 30/621-6378
0,1742634683,2025-03-22T09:11:23Z,HG8PXL-10,HG7PDK-2,5(2/2),0,),Csongrd,/;,46.715167,20.186167,,,,,,,"DIXPRS - Bela, HA5DI",,, IX. Csongradi HAM Borze Augusztus 25-31 Info:06-30/258-4819 HG8LXL Laci http://hg8lxl.ham.hu/Talalkozo/koros-torok-kemping.htm
0,1742634684,2025-03-22T09:11:24Z,HG8PXL-10,HG7PDK-2,5(2/2),0,),H.M.V.H,/;,46.413167,20.319833,,,,,,,"DIXPRS - Bela, HA5DI",,, Hodmezovasarhelyi Radios Talakozo - 2025 Aprilis 26. - Szombat
0,1742634685,2025-03-22T09:11:25Z,HG8PXL-10,HG7PDK-2,5(2/2),0,),LORINCI,/;,47.723833,19.696167,,,,,,,"DIXPRS - Bela, HA5DI",,, Lorinci Radios Talalkozo - 2025 Majus 1.
0,1742634696,2025-03-22T09:11:36Z,OM0ODX,HG7PDK-2?,5(2/2),0,},OM0ODX,/ ,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742634729,2025-03-22T09:12:09Z,OM0ODX,HG7PDK-2?,5(2/2),0,},OM0ODX,/ ,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742634734,2025-03-22T09:12:14Z,HG2PEG-2,HG7PDK-2,5(2/2),0,!,HG2PEG-2,S#,47.786667,18.771833,,,384.0,,,,UIdigi,,, UIDIGI 1.9B3 Esztergom Vaskapu/HA
